Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.16354E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
4.5,0.75016,0.16386,0.00006,,,,,7573.698661,13.37155509
4.55,0.75875,0.21212,-0.00007,,,,,9804.302208,13.5246713
4.6,0.76734,0.17316,-0.00001,,,,,8003.549738,13.67778752
4.65,0.77531,0.1994,0.00001,,,,,9216.376864,13.81985227
4.7,0.78344,0.20958,-0.00007,,,,,9686.902022,13.96476901
4.75,0.79234,0.23163,0.00003,,,,,10706.06506,14.12341095
4.8,0.80078,0.19868,0.00003,,,,,9183.098071,14.27385343
4.85,0.80859,0.18651,-0.00003,,,,,8620.594026,14.41306619
4.9,0.81687,0.19899,0.00005,,,,,9197.42644,14.56065667
4.95,0.82578,0.21743,0.00001,,,,,10049.73331,14.71947686
5,0.83391,0.21395,-0.00009,,,,,9888.885808,14.86439361
5.05,0.84172,0.185,0.00004,,,,,8550.801002,15.00360637
5.1,0.85047,0.23407,-0.00004,,,,,10818.84319,15.15957457
5.15,0.85937,0.20514,-0.00001,,,,,9481.682798,15.31821651
5.2,0.86703,0.21002,0,,,,,9707.239062,15.45475553
5.25,0.875,0.22373,-0.00004,,,,,10340.92275,15.59682029
5.3,0.88406,0.22028,0.00009,,,,,10181.46186,15.75831422
5.35,0.89266,0.228,-0.00004,,,,,10538.28448,15.91160868
5.4,0.90031,0.24511,-0.00007,,,,,11329.11802,16.04796945
5.45,0.90859,0.27294,0.00006,,,,,12615.43581,16.19555994
5.5,0.9175,0.22972,-0.00001,,,,,10617.78382,16.35438013
5.55,0.92562,0.21208,-0.00005,,,,,9802.453387,16.49911862
5.6,0.93344,0.24391,0.00006,,,,,11273.65336,16.63850963
5.65,0.94219,0.22463,0.00003,,,,,10382.52124,16.79447783
5.7,0.95094,0.24879,0,,,,,11499.20963,16.95044604
5.75,0.95875,0.24128,0.00003,,,,,11152.09333,17.0896588
5.8,0.96703,0.25545,0.00001,,,,,11807.03846,17.23724928
5.85,0.97562,0.23701,0,,,,,10954.7316,17.39036549
5.9,0.98391,0.23746,0,,,,,10975.53084,17.53813423
5.95,0.99172,0.27561,-0.00001,,,,,12738.84467,17.67734699
6,1.00047,0.27641,0.00002,,,,,12775.82111,17.83331519
6.05,1.00891,0.24909,0.00001,,,,,11513.07579,17.98375766
6.1,1.01687,0.26123,0,,,,,12074.19322,18.12564416
6.15,1.02531,0.26115,0.00001,,,,,12070.49558,18.27608664
6.2,1.03422,0.24419,0,,,,,11286.59512,18.43490683
6.25,1.04234,0.26642,-0.00001,,,,,12314.07785,18.57964532
6.3,1.05,0.30057,0.00002,,,,,13892.5095,18.71618434
6.35,1.05859,0.2484,0,,,,,11481.18362,18.86930056
6.4,1.06766,0.24658,0,,,,,11397.06222,19.03097274
6.45,1.07547,0.27934,0.00002,,,,,12911.24731,19.1701855
6.5,1.08344,0.27233,0,,,,,12587.24128,19.31225025
6.55,1.09219,0.29317,0,,,,,13550.47746,19.46821845
6.6,1.10094,0.28888,0.00002,,,,,13352.19132,19.62418666
6.65,1.10859,0.26981,0,,,,,12470.7655,19.76054743
6.7,1.11687,0.25773,0,,,,,11912.42131,19.90813791
6.75,1.12578,0.28005,0.00001,,,,,12944.0639,20.0669581
6.8,1.13391,0.29394,0,,,,,13586.06728,20.21187485
6.85,1.14187,0.27668,0.00001,,,,,12788.30066,20.35376135
6.9,1.15031,0.28301,0.00001,,,,,13080.87671,20.50420382
6.95,1.15906,0.29438,0,,,,,13606.40432,20.66017202
7,1.16687,0.28535,0.00002,,,,,13189.03279,20.79938479
7.05,1.17516,0.30406,0,,,,,14053.8192,20.94715352
7.1,1.18406,0.28321,-0.00001,,,,,13090.12082,21.10579546
7.15,1.19234,0.31505,0.00002,,,,,14561.783,21.25338594
7.2,1.20031,0.30049,0,,,,,13888.81185,21.39545069
7.25,1.20891,0.27902,0.00001,,,,,12896.45673,21.54874516
7.3,1.2175,0.3017,0.00002,,,,,13944.73872,21.70186137
7.35,1.22531,0.29318,0,,,,,13550.93966,21.84107413
7.4,1.23359,0.30334,0,,,,,14020.54041,21.98866461
7.45,1.2425,0.32443,0.00001,,,,,14995.33172,22.14748481
7.5,1.25062,0.33683,0,,,,,15568.46649,22.2922233
7.55,1.25844,0.30676,0.00001,,,,,14178.61468,22.43161431
7.6,1.26719,0.30064,0.00001,,,,,13895.74494,22.58758251
7.65,1.27594,0.29082,0,,,,,13441.85918,22.74355071
7.7,1.28375,0.33061,0.00001,,,,,15280.9747,22.88276348
7.75,1.29172,0.34381,0,,,,,15891.08591,23.02482823
7.8,1.30047,0.34394,0,,,,,15897.09458,23.18079643
7.85,1.30906,0.30784,0.00001,,,,,14228.53287,23.33391264
7.9,1.31687,0.32439,0,,,,,14993.4829,23.47312541
7.95,1.32516,0.32246,0.00001,,,,,14904.27725,23.62089414
8,1.33406,0.3279,0.00001,,,,,15155.71702,23.77953608
8.05,1.34219,0.34815,0,,,,,16091.68307,23.92445282
8.1,1.35031,0.33875,0.00001,,,,,15657.20994,24.06919131
8.15,1.35875,0.32031,0.00001,,,,,14804.90308,24.21963379
8.2,1.36734,0.34847,0,,,,,16106.47365,24.37275
8.25,1.37531,0.33672,0.00001,,,,,15563.38223,24.51481475
8.3,1.38359,0.36203,0,,,,,16733.22425,24.66240523
8.35,1.39234,0.34279,0,,,,,15843.94095,24.81837344
8.4,1.40047,0.36705,0.00001,,,,,16965.25139,24.96329018
8.45,1.40844,0.3272,0,,,,,15123.36264,25.10535493
8.5,1.41734,0.3989,0.00001,,,,,18437.37578,25.26399687
8.55,1.42578,0.33436,0,,,,,15454.30175,25.41443935
8.6,1.43359,0.34335,-0.00002,,,,,15869.82445,25.55365211
8.65,1.44187,0.34602,0.00002,,,,,15993.23331,25.70124259
8.7,1.45078,0.34976,0.00004,,,,,16166.09815,25.86006278
8.75,1.45891,0.35326,-0.00002,,,,,16327.87006,26.00497952
8.8,1.46672,0.40702,0,,,,,18812.68662,26.14419229
8.85,1.47547,0.38251,0.00001,,,,,17679.82103,26.30016049
8.9,1.48422,0.36125,-0.00001,,,,,16697.17223,26.45612869
8.95,1.49203,0.36262,0.00006,,,,,16760.49437,26.59534145
9,1.5,0.38392,-0.00001,,,,,17744.992,26.7374062
9.05,1.50891,0.37345,-0.00001,,,,,17261.06289,26.8962264
9.1,1.51766,0.38839,0.00002,,,,,17951.59784,27.0521946
9.15,1.52516,0.37494,-0.00004,,,,,17329.9315,27.18588163
