 ,10,mm/min,,,,,Average Strain,,
Tensile strain,25.4,mm,,,,,Area,2.47811E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
0,0,-0.00084,0.00002,,,,,-33.89677303,0
0.05,0.00078,0.00755,0,,,,,304.6674242,0.006493185
0.1,0.00625,0.01062,-0.00001,,,,,428.552059,0.052028729
0.15,0.01828,-0.00119,-0.00001,,,,,-48.02042846,0.152173628
0.2,0.02953,-0.00543,0.00002,,,,,-219.1184256,0.245825341
0.25,0.04031,0.02405,0.00003,,,,,970.4968944,0.335564493
0.3,0.04906,0.02562,-0.00002,,,,,1033.851577,0.408404715
0.35,0.05766,0.02152,-0.00003,,,,,868.4030423,0.479996246
0.4,0.06687,0.02962,-0.00002,,,,,1195.264782,0.556665782
0.45,0.07531,0.03335,0.00002,,,,,1345.782596,0.626925378
0.5,0.08328,0.08102,0.00005,,,,,3269.424465,0.693272414
0.55,0.09172,0.06096,0,,,,,2459.937243,0.76353201
0.6,0.10047,0.08041,-0.00004,,,,,3244.808951,0.836372232
0.65,0.10859,0.06329,-0.00004,,,,,2553.960434,0.903967957
0.7,0.11672,0.08604,0.00001,,,,,3471.998037,0.971646928
0.75,0.12531,0.06698,0.00004,,,,,2702.864116,1.043155214
0.8,0.13391,0.09355,0.00004,,,,,3775.051329,1.114746746
0.85,0.14187,0.13036,-0.00001,,,,,5260.456347,1.181010535
0.9,0.15031,0.15342,-0.00005,,,,,6191.003474,1.251270132
0.95,0.15891,0.11067,-0.00004,,,,,4465.899846,1.322861663
1,0.16687,0.10559,0.00002,,,,,4260.905076,1.389125453
1.05,0.17516,0.10852,0.00006,,,,,4379.140249,1.45813636
1.1,0.18391,0.13376,0.00005,,,,,5397.657572,1.530976581
1.15,0.19219,0.12955,-0.00003,,,,,5227.770173,1.599904242
1.2,0.2,0.17621,-0.00007,,,,,7110.655208,1.664919342
1.25,0.20844,0.12502,-0.00003,,,,,5044.969719,1.735178938
1.3,0.21734,0.12631,0.00004,,,,,5097.025477,1.809267849
1.35,0.22516,0.15044,0.00005,,,,,6070.750636,1.874366195
1.4,0.23312,0.16463,0.00002,,,,,6643.36398,1.940629985
1.45,0.24219,0.18805,-0.00003,,,,,7588.438295,2.016134077
1.5,0.25078,0.18526,-0.00006,,,,,7475.852585,2.087642363
1.55,0.25828,0.17947,-0.00001,,,,,7242.20697,2.150076839
1.6,0.26656,0.18069,0.00003,,,,,7291.437998,2.219004499
1.65,0.27562,0.16888,0.00004,,,,,6814.865511,2.294425346
1.7,0.28406,0.18508,0.00002,,,,,7468.58899,2.364684942
1.75,0.29172,0.20734,-0.00002,,,,,8366.853476,2.428451353
1.8,0.30016,0.23969,-0.00005,,,,,9672.28277,2.498710949
1.85,0.30906,0.19384,-0.00001,,,,,7822.083909,2.57279986
1.9,0.31703,0.21626,0.00003,,,,,8726.804922,2.639146895
1.95,0.325,0.22314,0.00003,,,,,9004.435635,2.705493931
2,0.33375,0.22951,0.00001,,,,,9261.486164,2.778334152
2.05,0.34234,0.23201,-0.00004,,,,,9362.369417,2.849842438
