Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.05629E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
4.3,-10.27125,0.17386,0.00001,,,,,8455.049541,-194.1952002
4.35,-10.26344,0.16799,0,,,,,8169.583414,-194.047539
4.4,-10.25516,0.17343,0.00001,,,,,8434.138053,-193.8909918
4.45,-10.24625,0.17154,0.00001,,,,,8342.224768,-193.7225333
4.5,-10.23812,0.19058,0,,,,,9268.166004,-193.568822
4.55,-10.23016,0.17983,0.00001,,,,,8745.378804,-193.4183248
4.6,-10.22156,0.19128,0.00001,,,,,9302.207961,-193.2557274
4.65,-10.21266,0.17365,0.00001,,,,,8444.836954,-193.087458
4.7,-10.20484,0.18589,0.00001,,,,,9040.084891,-192.9396078
4.75,-10.19687,0.16062,0,,,,,7811.170236,-192.7889216
4.8,-10.18797,0.18428,0.00001,,,,,8961.788389,-192.6206522
4.85,-10.17938,0.19042,0,,,,,9260.384985,-192.4582438
4.9,-10.17172,0.17692,0,,,,,8603.861525,-192.3134187
4.95,-10.16344,0.20242,0.00001,,,,,9843.961394,-192.1568714
5,-10.15438,0.1865,0.00001,,,,,9069.750025,-191.9855769
5.05,-10.14625,0.19638,0.00001,,,,,9550.227935,-191.8318656
5.1,-10.13844,0.22299,0,,,,,10844.30862,-191.6842045
5.15,-10.12984,0.19757,0.00001,,,,,9608.099262,-191.5216071
5.2,-10.12125,0.20392,0.00001,,,,,9916.908446,-191.3591987
5.25,-10.11328,0.16531,0,,,,,8039.251349,-191.2085125
5.3,-10.105,0.19308,0.00001,,,,,9389.744423,-191.0519652
5.35,-10.09641,0.20301,0.00001,,,,,9872.653901,-190.8895569
5.4,-10.08797,0.20675,0,,,,,10054.53522,-190.7299845
5.45,-10.08016,0.2078,0.00001,,,,,10105.59815,-190.5823234
5.5,-10.07156,0.19736,0.00001,,,,,9597.886675,-190.419726
5.55,-10.06297,0.21496,0,,,,,10453.79874,-190.2573176
